Date : 2021-06-22 20:40:38
Directory : /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts
Total : 84 files,  6712 codes, 139 comments, 868 blanks, all 7719 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         84 |      6,712 |        139 |        868 |      7,719 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |         84 |      6,712 |        139 |        868 |      7,719 |
| Camera                                                                                                                               |          3 |        182 |         10 |         30 |        222 |
| Custom Data                                                                                                                          |         39 |      2,890 |         39 |        303 |      3,232 |
| Custom Data/Arcana                                                                                                                   |          1 |         11 |          0 |          2 |         13 |
| Custom Data/Commands                                                                                                                 |          2 |         44 |          0 |          6 |         50 |
| Custom Data/Elements                                                                                                                 |          1 |         85 |          0 |          7 |         92 |
| Custom Data/Encounter Conditions                                                                                                     |          4 |         87 |          0 |          9 |         96 |
| Custom Data/Formations                                                                                                               |          1 |         59 |          0 |          4 |         63 |
| Custom Data/Items                                                                                                                    |          4 |        175 |          0 |         21 |        196 |
| Custom Data/Jobs                                                                                                                     |          2 |        102 |          1 |         11 |        114 |
| Custom Data/Maps                                                                                                                     |          1 |         16 |          0 |          5 |         21 |
| Custom Data/Skills                                                                                                                   |          9 |        924 |          4 |         80 |      1,008 |
| Custom Data/Skills/Skill Animations                                                                                                  |          1 |         89 |          0 |         16 |        105 |
| Custom Data/Status Effects                                                                                                           |          4 |        145 |          2 |         26 |        173 |
| Custom Data/Units                                                                                                                    |         10 |      1,242 |         32 |        132 |      1,406 |
| Enums                                                                                                                                |         11 |        115 |          0 |          9 |        124 |
| Managers                                                                                                                             |          9 |      1,861 |         63 |        268 |      2,192 |
| Misc                                                                                                                                 |          6 |        175 |          0 |         28 |        203 |
| Movement                                                                                                                             |          4 |        547 |         19 |         94 |        660 |
| UI                                                                                                                                   |         12 |        942 |          8 |        136 |      1,086 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                             | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Camera/CameraController.cs                                      | C#       |        129 |          2 |         21 |        152 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Camera/CameraFacingBillboard.cs                                 | C#       |         37 |          5 |          5 |         47 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Camera/CameraFollow.cs                                          | C#       |         16 |          3 |          4 |         23 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Arcana/ArcanaData.cs                                | C#       |         11 |          0 |          2 |         13 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Commands/AttackCommand.cs                           | C#       |         10 |          0 |          3 |         13 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Commands/CommandData.cs                             | C#       |         34 |          0 |          3 |         37 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Elements/ElementData.cs                             | C#       |         85 |          0 |          7 |         92 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Encounter Conditions/AllEnemiesDefeatedCondition.cs | C#       |         18 |          0 |          2 |         20 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Encounter Conditions/AlliesDefeatedCondition.cs     | C#       |         18 |          0 |          2 |         20 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Encounter Conditions/DefeatLeadersCondition.cs      | C#       |         18 |          0 |          1 |         19 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Encounter Conditions/EncounterCondition.cs          | C#       |         33 |          0 |          4 |         37 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Formations/FormationData.cs                         | C#       |         59 |          0 |          4 |         63 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Items/EquipmentData.cs                              | C#       |         94 |          0 |         13 |        107 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Items/ItemData.cs                                   | C#       |         33 |          0 |          2 |         35 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Items/StatBonus.cs                                  | C#       |         12 |          0 |          2 |         14 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Items/WeaponData.cs                                 | C#       |         36 |          0 |          4 |         40 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Jobs/JobData.cs                                     | C#       |         94 |          1 |         10 |        105 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Jobs/JobSkill.cs                                    | C#       |          8 |          0 |          1 |          9 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Maps/MapData.cs                                     | C#       |         16 |          0 |          5 |         21 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Skills/AttackSkill.cs                               | C#       |         60 |          0 |          7 |         67 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Skills/BasicAttackCalculation.cs                    | C#       |         14 |          0 |          1 |         15 |
